WAR,Avg Annual
1.55,8166667.0
0.58,9000000.0
4.2,13000000.0
1.37,7000000.0
2.56,18000000.0
0.76,2900000.0
0.8,4000000.0
0.46,2000000.0
0.04,558000.0
0.24,5500000.0
0.93,10333333.0
0.16,1000000.0
2.02,5625000.0
1.2,7937500.0
1.33,6300000.0
-0.2,575000.0
4.34,17250000.0
1.03,5400000.0
0.97,2350000.0
2.32,5000000.0
0.89,1500000.0
4.26,25714286.0
1.99,25000000.0
4.69,29200000.0
0.36,1200000.0
3.95,12000000.0
0.88,9250000.0
0.93,12000000.0
0.44,2450000.0
1.08,3250000.0
0.88,9250000.0
0.63,1250000.0
0.22,6050000.0
2.2,5918483.0
3.24,25833333.0
1.93,570100.0
1.16,2825000.0
0.91,11000000.0
