Weighted ABs,Weighted Hits,Weighted 2Bs,Weighted 3Bs,Weighted HRs,Weighted BBs,Weighted SBs,Avg Annual
635.25,175.25,28.25,14.5,15.75,31.0,50.0,5166667
916.5,200.75,34.75,1.0,57.0,131.0,15.25,8500000
581.75,122.25,30.25,3.0,19.25,69.75,2.0,8166667
730.5,174.75,37.5,0.75,42.25,88.0,0.75,7900000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000
455.75,120.5,33.0,6.0,15.5,38.75,23.0,7750000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7750000
812.5,211.5,47.5,0.0,33.25,101.75,4.25,8000000
653.0,178.5,29.0,0.0,30.5,46.75,1.5,7500000
433.0,109.5,21.0,0.75,15.75,42.75,4.5,5857143
1060.0,300.0,57.5,6.75,25.75,99.5,24.75,7050000
762.0,216.75,39.0,6.75,12.0,93.25,28.5,7081429
1046.0,260.75,48.5,8.25,27.0,63.75,26.75,6825000
891.25,227.75,40.5,7.25,22.25,89.25,0.75,6750000
635.25,163.0,36.25,0.0,36.0,50.25,1.5,6700000
827.75,246.75,40.5,6.5,27.0,58.5,8.0,6700000
790.5,219.25,39.0,5.25,24.0,81.25,4.75,6500000
710.0,188.25,39.75,6.75,7.0,35.0,17.5,4710739
853.0,205.25,49.75,0.0,38.5,83.25,0.75,6500000
633.0,169.75,28.5,0.0,43.25,40.75,0.0,6500000
776.75,189.0,35.5,1.75,48.5,108.75,5.0,6500000
673.5,193.25,33.5,13.0,3.25,55.75,18.75,4700000
813.25,207.25,52.5,1.0,9.0,42.0,12.25,6275000
484.5,124.0,22.75,1.75,24.25,51.25,0.75,6250000
900.5,229.75,41.5,8.25,36.5,95.25,14.75,6100000
744.75,189.75,38.75,11.0,19.5,58.0,34.5,9000000
922.25,254.75,54.75,13.0,39.5,62.0,4.75,6050000
366.5,101.0,21.0,2.0,14.0,22.5,2.0,3833333
820.5,223.75,58.0,3.75,15.5,92.5,0.0,6000000
642.25,156.0,40.5,0.75,34.75,110.25,4.75,6000000
881.75,265.25,51.0,3.0,24.0,39.75,54.0,6000000
970.5,259.75,60.0,6.25,45.0,59.75,4.0,5950000
711.0,176.0,26.75,9.5,10.25,37.75,4.75,5900000
468.0,122.25,25.0,1.75,21.0,36.75,3.5,5750000
834.5,234.25,44.5,3.75,37.5,58.5,9.0,5700000
524.75,150.5,35.75,4.75,18.0,42.25,6.5,5587500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857143
818.0,230.25,53.5,2.25,32.75,65.5,17.0,5125000
921.25,270.75,36.5,14.25,13.5,110.5,27.75,5100000
857.75,191.75,42.0,6.75,48.5,126.5,9.0,5000000
908.0,253.5,65.5,1.5,32.75,90.5,4.5,5000000
721.0,178.25,26.5,6.5,25.5,48.75,5.75,4850000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4750000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4750000
915.0,271.25,44.25,10.75,7.5,64.5,31.75,6105000
971.75,250.0,60.25,8.5,28.75,94.25,37.25,7000000
767.75,197.75,38.75,4.75,34.0,88.25,31.75,13833333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333333
890.25,224.25,31.25,13.25,6.25,71.0,102.5,4600000
755.0,199.75,43.25,0.0,23.5,68.25,0.75,5500000
749.0,167.75,34.75,7.5,31.5,98.25,9.5,4500000
652.75,172.75,41.25,2.75,12.25,69.0,4.75,4000000
928.25,230.5,53.25,10.75,51.75,135.0,10.5,4275000
521.0,115.25,22.0,0.75,27.5,61.75,1.0,4250000
858.5,221.0,38.5,6.25,20.0,51.75,30.0,5100000
527.75,146.0,29.5,0.0,18.0,52.75,0.0,4000000
437.75,109.0,17.5,1.0,19.25,90.5,0.0,4125000
561.75,148.5,35.5,1.0,32.0,41.75,0.0,4000000
676.25,165.25,39.5,1.75,26.75,56.5,26.5,4000000
694.0,189.0,27.75,2.75,31.25,86.5,2.25,4000000
493.25,115.5,29.5,0.0,22.25,65.5,0.0,4250000
585.0,126.5,24.25,1.0,20.0,41.25,0.75,3900000
570.25,149.25,23.5,9.0,5.75,47.5,50.5,3750000
954.25,277.25,43.5,8.25,21.0,84.0,37.0,6100000
534.75,144.75,31.0,0.75,25.0,30.5,0.0,3500000
537.75,118.25,33.25,0.0,35.25,71.25,0.0,3500000
536.25,131.5,24.25,1.0,19.0,37.25,0.0,3475000
859.0,230.25,43.75,10.25,17.5,83.5,7.75,3450000
689.75,187.75,43.0,9.25,15.75,32.0,27.75,3400000
587.0,164.5,27.0,0.75,36.25,75.5,1.0,3400000
566.25,152.5,27.5,1.0,30.0,34.25,1.75,3400000
681.5,184.75,27.0,8.75,25.75,46.5,7.5,3350000
924.5,247.25,48.75,10.75,45.0,36.25,18.5,8250000
653.25,186.25,37.75,6.75,17.0,49.0,9.5,3300000
998.0,259.5,63.25,2.5,21.25,51.0,25.5,3250000
656.75,172.5,30.5,5.75,13.0,78.0,44.25,3250000
745.75,177.75,39.75,5.25,27.75,70.25,5.75,3200000
768.0,186.25,39.25,2.5,30.25,76.25,19.5,3125000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125000
646.5,157.25,37.5,2.5,22.5,47.25,0.0,3065000
415.75,123.5,28.0,4.5,7.0,45.75,4.5,3000000
670.25,189.0,35.5,4.5,15.0,59.5,19.5,3500000
397.75,91.0,14.5,1.0,20.25,39.25,4.0,3000000
639.25,187.75,37.5,3.75,3.5,51.25,7.5,3000000
510.0,122.5,30.25,0.0,34.0,54.75,1.0,2975000
1010.75,243.0,46.25,1.75,42.75,71.0,0.75,2950000
957.75,244.0,43.75,3.5,41.75,122.25,12.25,9428571
669.25,174.5,37.0,8.75,18.25,60.0,0.75,2900000
913.75,263.5,54.25,5.0,25.25,57.0,17.0,2900000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860000
1008.75,318.0,90.5,8.25,37.25,85.0,33.5,565000
1008.75,318.0,90.5,8.25,37.25,85.0,33.5,565000
546.25,133.25,27.75,0.75,21.0,73.5,12.25,2825000
356.75,85.75,12.0,0.0,14.5,26.0,0.0,2800000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000
542.0,144.0,32.75,2.5,15.0,37.75,10.5,2500000
746.5,178.25,46.75,5.25,40.0,47.0,9.75,2600000
577.5,133.0,39.5,0.0,29.75,86.25,8.5,2600000
844.75,223.0,46.5,3.25,25.25,89.25,69.5,2550000
503.75,126.25,38.0,0.75,16.5,30.75,0.0,2500000
