rank,Name,Team,POS,Salary,Years,Total_Value,Avg_Annual,Contract_Length,Years_Active,Years_Signed,int_value,int_annual,int_salary
--,Brad Ziegler,MIA,RP,"$9,000,000",2 (2017-18),"$16,000,000","$8,000,000",2,2017-18,2017,16000000,8000000,9000000
--,Tommy Hunter,PHI,RP,"$9,000,000",2 (2018-19),"$18,000,000","$9,000,000",2,2018-19,2018,18000000,9000000,9000000
--,Brian Dozier,MIN,2B,"$9,000,000",4 (2015-18),"$20,000,000","$5,000,000",4,2015-18,2015,20000000,5000000,9000000
--,Darren O'Day,BAL,RP,"$8,854,712",4 (2016-19),"$31,000,000","$7,750,000",4,2016-19,2016,31000000,7750000,8854712
--,Jose Quintana,CHC,SP,"$8,850,000",5 (2014-18),"$21,000,000","$4,200,000",5,2014-18,2014,21000000,4200000,8850000
--,Kole Calhoun,LAA,OF,"$8,833,333",3 (2017-19),"$26,000,000","$8,666,667",3,2017-19,2017,26000000,8666667,8833333
--,Jhoulys Chacin,MIL,SP,"$8,750,000",2 (2018-19),"$15,500,000","$7,750,000",2,2018-19,2018,15500000,7750000,8750000
--,Carlos Carrasco,CLE,SP,"$8,750,000",4 (2015-18),"$22,000,000","$5,500,000",4,2015-18,2015,22000000,5500000,8750000
--,Salvador Perez,KC,C,"$8,700,000",6 (2016-21),"$54,500,000","$9,083,333",6,2016-21,2016,54500000,9083333,8700000
--,Jonathan Schoop,BAL,2B,"$8,500,000",1 (2018),"$8,500,000","$8,500,000",1,2018,2018,8500000,8500000,8500000
--,Wilson Ramos,TB,C,"$8,500,000",2 (2017-18),"$12,500,000","$6,250,000",2,2017-18,2017,12500000,6250000,8500000
--,Drew Pomeranz,BOS,SP,"$8,500,000",1 (2018),"$8,500,000","$8,500,000",1,2018,2018,8500000,8500000,8500000
--,DJ LeMahieu,COL,2B,"$8,500,000",1 (2018),"$8,500,000","$8,500,000",1,2018,2018,8500000,8500000,8500000
--,Mike Minor,TEX,SP,"$8,333,333",3 (2018-20),"$28,000,000","$9,333,333",3,2018-20,2018,28000000,9333333,8333333
--,Luis Valbuena,LAA,1B,"$8,250,000",2 (2017-18),"$15,000,000","$7,500,000",2,2017-18,2017,15000000,7500000,8250000
--,Asdrubal Cabrera,NYM,2B,"$8,250,000",1 (2018),"$8,250,000","$8,250,000",1,2018,2018,8250000,8250000,8250000
--,Addison Reed,MIN,RP,"$8,250,000",2 (2018-19),"$16,750,000","$8,375,000",2,2018-19,2018,16750000,8375000,8250000
--,Didi Gregorius,NYY,SS,"$8,250,000",1 (2018),"$8,250,000","$8,250,000",1,2018,2018,8250000,8250000,8250000
--,Julio Teheran,ATL,SP,"$8,166,666",6 (2014-19),"$32,400,000","$5,400,000",6,2014-19,2014,32400000,5400000,8166666
--,Starling Marte,PIT,OF,"$8,166,666",6 (2014-19),"$31,000,000","$5,166,667",6,2014-19,2014,31000000,5166667,8166666
--,Bryan Shaw,COL,RP,"$8,166,666",3 (2018-20),"$27,000,000","$9,000,000",3,2018-20,2018,27000000,9000000,8166666
--,Pat Neshek,PHI,RP,"$8,125,000",2 (2018-19),"$16,250,000","$8,125,000",2,2018-19,2018,16250000,8125000,8125000
--,Todd Frazier,NYM,3B,"$8,000,000",2 (2018-19),"$17,000,000","$8,500,000",2,2018-19,2018,17000000,8500000,8000000
--,Jason Castro,MIN,C,"$8,000,000",3 (2017-19),"$24,500,000","$8,166,667",3,2017-19,2017,24500000,8166667,8000000
--,Kelvin Herrera,KC,RP,"$7,937,500",1 (2018),"$7,937,500","$7,937,500",1,2018,2018,7937500,7937500,7937500
--,Jeurys Familia,NYM,RP,"$7,925,000",1 (2018),"$7,925,000","$7,925,000",1,2018,2018,7925000,7925000,7925000
--,Yasmani Grandal,LAD,C,"$7,900,000",1 (2018),"$7,900,000","$7,900,000",1,2018,2018,7900000,7900000,7900000
--,Hyun-Jin Ryu,LAD,SP,"$7,833,333",6 (2013-18),"$36,000,000","$6,000,000",6,2013-18,2013,36000000,6000000,7833333
--,Brett Cecil,STL,RP,"$7,750,000",4 (2017-20),"$30,500,000","$7,625,000",4,2017-20,2017,30500000,7625000,7750000
--,A.J. Pollock,ARI,OF,"$7,750,000",1 (2018),"$7,750,000","$7,750,000",1,2018,2018,7750000,7750000,7750000
--,Juan Nicasio,SEA,RP,"$7,750,000",2 (2018-19),"$17,000,000","$8,500,000",2,2018-19,2018,17000000,8500000,7750000
--,Ryan Madson,WSH,RP,"$7,666,667",3 (2016-18),"$22,000,000","$7,333,333",3,2016-18,2016,22000000,7333333,7666667
--,Jake McGee,COL,RP,"$7,666,666",3 (2018-20),"$27,000,000","$9,000,000",3,2018-20,2018,27000000,9000000,7666666
--,Miles Mikolas,STL,SP,"$7,500,000",2 (2018-19),"$15,500,000","$7,750,000",2,2018-19,2018,15500000,7750000,7500000
--,Patrick Corbin,ARI,SP,"$7,500,000",1 (2018),"$7,500,000","$7,500,000",1,2018,2018,7500000,7500000,7500000
