,Espn_id,War_salary_prediction
751,34052,2798863
752,33244,8958372
753,34854,2325054
754,33223,3430607
755,31075,-1
756,-1,-1
757,33194,3588543
758,33200,2862037
759,33750,5167905
760,34861,2640927
761,34874,6210283
762,33839,10537734
763,33364,1472199
764,31844,3493782
765,35222,3177910
766,36063,3430607
767,36202,2009182
768,34906,2956799
769,33651,2798863
770,32832,2546165
771,36131,2640927
772,33215,1851246
773,32613,2230293
774,32972,-1
775,36085,113948
776,31873,5167905
777,32721,1377437
778,33695,2956799
779,33212,6115522
780,32531,-1
781,35872,1219501
782,33304,2640927
783,36088,3904416
784,34400,2325054
785,31938,2167118
786,33018,3177910
787,30788,1693310
788,33803,-1
789,36078,1535374
790,35096,3904416
791,33403,3272671
792,33857,11643287
793,32767,5894411
794,32776,7379011
795,33229,2325054
796,33287,2482990
797,33652,1061565
798,31722,1598548
799,34884,524582
800,33667,3272671
801,33760,903629
802,32821,587757
803,31737,3683305
804,5301,2704101
805,36191,5325841
806,33841,2009182
807,33956,1219501
808,33247,1693310
809,35903,2956799
810,33017,4441399
811,33218,429821
812,36112,903629
813,36084,1535374
814,33217,3588543
815,33340,2798863
816,33698,2482990
817,32152,-1
818,35949,-1
819,34697,2325054
820,32172,-1
821,35012,2009182
822,33644,4062352
823,32851,1598548
824,35899,2325054
825,34235,2009182
826,33213,9274245
827,33831,1061565
828,36069,3430607
829,33210,2798863
830,36120,3746480
831,32812,2482990
832,38317,2009182
833,33684,429821
834,37250,-1
835,32778,2230293
836,39709,-1
837,33837,3114735
838,37909,3904416
839,33731,1377437
840,33828,1377437
841,39835,-1
842,32777,1535374
843,33183,5167905
844,33776,3588543
845,33678,1535374
846,33398,2482990
847,33526,4536160
848,32819,1693310
849,33654,2009182
850,33065,-1
851,36480,2009182
852,39838,1377437
853,35780,3272671
854,33728,-1
855,32606,-517795
856,33221,113948
857,39824,-1
858,33735,2640927
859,39823,3272671
860,35487,3904416
861,33171,2640927
862,32736,2640927
863,32833,1377437
864,33112,2009182
865,33234,1693310
866,34859,-517795
867,34860,2325054
868,34973,3746480
869,34195,2325054
870,36065,-1
871,35292,4852033
872,37005,2640927
873,35178,745693
874,38250,2009182
875,34166,1061565
