SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,ARI,22,17,0,0,107.0,117,56,54,14,25,86,6,8,1,0,0,0.7,1.33,4.54
2013,ARI,32,32,3,0,208.1,189,81,79,19,54,178,14,8,0,0,0,2.8,1.17,3.41
2015,ARI,16,16,0,0,85.0,91,34,34,9,17,78,6,5,0,0,0,1.3,1.27,3.60
2016,ARI,36,24,0,0,155.2,177,109,89,24,66,131,5,13,1,2,0,-0.9,1.56,5.15
2017,ARI,33,32,0,0,189.2,208,97,85,26,61,178,14,13,0,0,0,2.9,1.42,4.03
2018,ARI,10,10,1,1,62.1,39,18,18,7,18,81,4,1,0,0,0,1.9,0.91,2.60
