YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2017,NYY,13,43,3,14,5,1,0,6,1,12,0,0,.326,.333,.488,.821,0.1
2018,MIA,4,7,0,1,0,0,0,1,1,3,0,0,.143,.333,.143,.476,-0.0
