YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2012,LAA,1,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0.0
2012,MIL,44,148,19,39,4,3,0,14,13,21,7,1,.264,.321,.331,.652,0.1
2012,Total,45,151,19,39,4,3,0,14,13,23,7,1,.258,.315,.325,.640,0.1
2013,MIL,146,588,74,173,20,10,12,49,25,84,44,13,.294,.329,.423,.752,3.9
2014,MIL,146,513,61,126,14,6,5,31,28,70,20,9,.246,.289,.326,.615,0.6
2015,MIL,142,560,57,144,16,5,6,50,13,93,25,6,.257,.281,.336,.617,-0.0
2016,ARI,153,637,102,203,41,7,20,64,39,101,33,10,.319,.368,.499,.867,5.7
2017,SEA,125,524,80,157,30,2,11,45,34,83,22,8,.300,.349,.427,.776,3.1
2018,SEA,48,205,34,65,14,2,3,33,7,31,11,2,.317,.335,.449,.784,1.5
