YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2014,TEX,24,86,12,30,5,0,3,12,3,24,0,0,.349,.391,.512,.903,0.9
2015,OAK,41,106,12,24,6,2,5,20,8,19,0,1,.226,.288,.462,.750,0.6
2015,TEX,35,60,12,8,1,0,1,6,11,20,1,0,.133,.270,.200,.470,-0.7
2015,Total,76,166,24,32,7,2,6,26,19,39,1,1,.193,.281,.367,.648,-0.0
2016,OAK,99,290,28,69,6,2,7,27,19,44,1,2,.238,.299,.345,.644,-0.3
2017,OAK,16,27,1,7,1,0,0,0,1,6,0,0,.259,.310,.296,.606,-0.1
2018,OAK,16,34,2,4,1,1,0,2,1,9,1,0,.118,.167,.206,.373,-0.3
