SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,WSH,12,12,0,0,68.0,56,25,22,5,17,92,5,3,0,0,0,1.5,1.07,2.91
2011,WSH,5,5,0,0,24.0,15,5,4,0,2,24,1,1,0,0,0,0.9,0.71,1.50
2012,WSH,28,28,0,0,159.1,136,62,56,15,48,197,15,6,0,0,0,2.7,1.15,3.16
2013,WSH,30,30,1,1,183.0,136,71,61,16,56,191,8,9,0,0,0,3.1,1.05,3.00
2014,WSH,34,34,0,0,215.0,198,86,75,23,43,242,14,11,0,0,0,3.5,1.12,3.14
2015,WSH,23,23,0,0,127.1,115,56,49,14,26,155,11,7,0,0,0,2.0,1.11,3.46
2016,WSH,24,24,0,0,147.2,119,59,59,15,44,183,15,4,0,0,0,3.4,1.10,3.60
2017,WSH,28,28,1,1,175.1,131,55,49,13,47,204,15,4,0,0,0,6.5,1.02,2.52
2018,WSH,10,10,0,0,67.0,54,28,25,10,17,75,5,4,0,0,0,1.1,1.06,3.36
