YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2017,MIL,21,47,2,5,0,1,2,3,7,17,1,0,.106,.236,.277,.513,-0.4
2018,MIA,47,167,11,27,2,0,6,17,7,58,1,1,.162,.205,.281,.486,-0.0
