YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2013,HOU,3,7,0,2,0,0,0,1,0,2,0,0,.286,.375,.286,.661,-0.0
2014,HOU,7,20,2,7,2,0,0,4,0,6,0,0,.350,.350,.450,.800,0.3
2015,HOU,11,15,4,6,0,0,1,2,1,5,0,0,.400,.438,.600,1.038,0.4
2016,HOU,9,13,1,1,0,0,0,0,0,5,0,0,.077,.077,.077,.154,-0.2
2017,HOU,14,24,5,4,1,0,2,4,6,4,0,0,.167,.323,.458,.781,0.1
2018,HOU,26,69,11,21,6,0,3,12,6,24,0,0,.304,.377,.522,.899,1.1
