SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,STL,6,1,0,0,13.2,9,2,2,0,4,16,1,0,0,1,0,0.5,0.95,1.32
2013,STL,31,31,1,1,173.1,152,65,59,20,57,169,15,9,0,0,0,3.4,1.21,3.06
2014,STL,32,31,1,1,183.0,160,78,76,22,73,127,10,9,0,0,0,1.6,1.27,3.74
2015,ATL,33,33,2,2,205.1,183,82,69,13,73,171,6,17,0,0,0,3.6,1.25,3.02
2016,ARI,20,20,1,1,101.0,127,72,69,14,42,70,3,12,0,0,0,-0.7,1.67,6.15
2017,ARI,4,4,0,0,22.0,20,10,10,1,12,20,2,2,0,0,0,0.4,1.45,4.09
