SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2017,TB,15,0,0,0,15.1,13,4,3,2,6,14,0,1,0,1,0,0.3,1.24,1.76
2018,TB,13,3,0,0,16.2,26,19,18,3,7,11,1,2,0,1,0,-1.0,1.98,9.72
