YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2015,WSH,27,40,5,9,1,0,1,1,4,12,2,2,.225,.295,.325,.620,0.3
2016,WSH,73,307,53,105,14,8,13,40,14,59,33,6,.342,.370,.567,.937,3.6
2017,WSH,98,412,75,117,24,6,11,45,30,80,46,8,.284,.338,.451,.789,2.6
2018,WSH,49,189,29,51,10,1,6,19,28,39,13,1,.270,.367,.429,.796,1.8
