YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,HOU,67,195,26,40,8,1,2,8,22,41,0,0,.205,.286,.287,.573,-0.4
2012,HOU,87,257,29,66,15,2,6,29,31,61,0,0,.257,.334,.401,.735,1.3
2013,HOU,120,435,63,120,35,1,18,56,50,130,2,1,.276,.350,.485,.835,4.5
2014,HOU,126,465,43,103,21,2,14,56,34,151,1,0,.222,.286,.366,.652,1.7
2015,HOU,104,337,38,71,19,0,11,31,33,115,0,0,.211,.283,.365,.648,1.3
2016,HOU,113,329,41,69,16,3,11,32,45,123,2,1,.210,.307,.377,.684,0.9
2017,MIN,110,356,49,86,22,0,10,47,45,108,0,0,.242,.333,.388,.721,2.5
2018,MIN,19,63,4,9,3,0,1,3,9,26,0,0,.143,.257,.238,.495,-0.1
