YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2014,KC,6,3,1,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,-0.1
2017,ATL,85,109,19,30,4,1,5,20,10,37,10,0,.275,.339,.468,.807,0.5
2018,ATL,15,17,5,4,0,0,1,4,4,4,0,0,.235,.381,.412,.793,0.2
