YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2014,DET,9,12,2,3,1,0,0,0,0,2,1,0,.250,.250,.333,.583,-0.1
2015,DET,114,401,32,106,18,5,7,41,16,90,0,1,.264,.297,.387,.684,1.0
2016,DET,105,344,31,76,9,1,12,48,23,109,0,1,.221,.272,.358,.630,1.1
2017,DET,106,352,39,89,14,2,13,49,26,89,1,0,.253,.318,.415,.733,1.4
2018,DET,38,144,13,39,8,0,3,15,12,31,0,1,.271,.327,.389,.716,0.5
