YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2017,TOR,4,8,0,1,1,0,0,0,0,3,0,0,.125,.125,.250,.375,0.1
2018,TOR,7,14,2,2,0,0,0,1,2,6,1,0,.143,.250,.143,.393,-0.0
