SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2014,BOS,5,0,0,0,9.0,11,4,4,1,2,8,0,0,0,0,0,0.0,1.44,4.00
2015,BOS,32,2,0,0,43.0,56,28,26,9,15,39,3,4,0,3,0,-0.3,1.65,5.44
2016,BOS,62,0,0,0,66.2,62,32,30,6,31,71,4,3,1,16,1,0.4,1.40,4.05
2017,BOS,70,0,0,0,69.2,57,31,30,7,28,83,7,3,1,21,2,0.7,1.22,3.88
2018,BOS,21,0,0,0,20.2,10,6,6,1,12,29,0,1,0,10,1,0.7,1.06,2.61
