YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2012,DET,23,47,7,15,0,0,0,3,3,10,0,2,.319,.373,.319,.692,-0.3
2013,CHW,42,161,19,49,4,2,5,21,5,38,3,2,.304,.327,.447,.774,0.3
2013,DET,30,83,12,20,3,1,2,10,4,21,0,1,.241,.273,.373,.646,-0.1
2013,Total,72,244,31,69,7,3,7,31,9,59,3,3,.283,.309,.422,.731,0.1
2014,CHW,46,172,19,42,8,0,7,29,14,44,4,1,.244,.305,.413,.718,-0.5
2015,CHW,148,553,66,142,17,2,13,59,36,141,7,7,.257,.309,.365,.674,-0.3
2016,CHW,120,413,59,101,18,2,12,51,34,115,4,4,.245,.307,.385,.692,0.8
2017,CHW,136,518,75,171,27,5,18,80,33,111,5,3,.330,.380,.506,.886,4.5
2018,CHW,18,73,5,17,3,0,1,4,0,17,0,1,.233,.250,.315,.565,-0.6
