YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2010,MIL,43,147,17,45,11,1,1,13,9,28,7,1,.306,.348,.415,.763,2.0
2011,KC,6,22,4,6,1,0,0,1,1,4,0,0,.273,.304,.318,.622,0.1
2012,KC,61,222,27,59,9,2,7,31,15,56,10,0,.266,.316,.419,.735,1.9
2013,KC,115,399,54,100,21,3,4,46,33,90,14,6,.251,.310,.348,.658,3.2
2014,KC,133,471,55,142,29,4,5,53,24,108,28,5,.301,.339,.412,.751,5.0
2015,KC,140,551,101,169,34,6,16,72,37,98,28,6,.307,.361,.477,.838,7.2
2016,KC,103,397,56,114,19,1,9,56,31,84,14,5,.287,.339,.408,.747,2.9
2017,KC,155,584,86,175,27,5,15,49,54,100,26,2,.300,.363,.440,.803,5.3
2018,MIL,47,170,29,48,10,0,6,15,29,36,10,3,.282,.388,.447,.835,2.6
