YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2016,OAK,22,51,4,12,4,0,1,4,3,14,0,0,.235,.273,.373,.646,-0.3
2017,OAK,87,282,36,67,15,1,15,42,18,92,2,1,.238,.292,.457,.749,1.0
2018,OAK,29,84,14,22,5,0,4,11,6,34,0,1,.262,.326,.464,.790,0.9
