SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2015,CIN,18,16,0,0,95.1,81,45,44,11,28,104,3,7,0,0,0,1.0,1.14,4.15
2016,CIN,37,5,0,0,78.1,63,22,22,7,26,83,3,2,6,7,2,2.7,1.14,2.53
2017,CIN,63,0,0,0,76.0,57,22,21,5,27,92,3,3,28,0,2,2.2,1.11,2.49
2018,CIN,20,0,0,0,21.2,12,5,5,3,8,27,1,0,8,0,2,0.6,0.92,2.08
