YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2017,CHC,31,59,6,15,3,0,1,2,4,13,0,0,.254,.333,.356,.689,0.1
2018,CHC,26,65,8,17,3,0,0,4,3,15,0,0,.262,.304,.308,.612,-0.1
