SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2017,PHI,37,0,0,0,31.1,30,7,7,2,16,22,0,0,0,7,1,1.1,1.47,2.01
2018,PHI,10,0,0,0,4.2,6,4,4,1,3,4,0,0,0,0,0,-0.1,1.93,7.71
