YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2015,HOU,99,387,52,108,22,1,22,68,40,78,14,4,.279,.345,.512,.857,4.1
2016,HOU,153,577,76,158,36,3,20,96,75,139,13,3,.274,.361,.451,.812,6.0
2017,HOU,109,422,82,133,25,1,24,84,53,92,2,1,.315,.391,.550,.941,6.3
2018,HOU,49,177,30,48,12,0,8,32,25,50,2,0,.271,.359,.475,.834,2.1
