YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2017,SD,12,32,5,11,1,0,4,7,0,10,0,0,.344,.344,.750,1.094,0.6
2018,SD,42,140,20,34,7,0,12,28,11,43,1,0,.243,.316,.550,.866,1.2
