SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2014,TOR,5,0,0,0,4.2,4,2,2,0,0,4,0,0,0,0,0,0.1,0.86,3.86
2015,OAK,21,21,1,0,115.2,126,57,52,15,38,77,6,9,0,0,0,1.2,1.42,4.05
2016,OAK,31,31,2,1,186.0,196,87,85,22,47,108,10,11,0,0,0,3.3,1.31,4.11
2017,OAK,19,19,0,0,105.1,114,50,49,12,32,70,6,4,0,0,0,2.1,1.39,4.19
2018,OAK,7,7,0,0,34.1,44,32,29,9,13,27,1,5,0,0,0,-1.0,1.66,7.60
