YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2013,MIL,69,213,29,69,11,2,6,21,10,42,2,1,.324,.356,.479,.835,2.1
2014,MIL,137,440,55,127,31,3,9,54,22,67,6,3,.289,.320,.434,.754,1.3
2015,MIL,114,375,42,99,18,4,6,29,12,68,1,3,.264,.294,.381,.675,0.6
2016,MIL,136,498,58,131,30,1,14,56,38,114,8,1,.263,.317,.412,.729,0.9
2017,CIN,141,461,80,136,22,3,27,97,30,114,3,2,.295,.342,.531,.873,2.4
2018,CIN,49,184,26,59,12,0,9,34,11,40,1,0,.321,.360,.533,.893,1.9
