SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2016,PIT,7,4,0,0,23.1,22,13,11,2,13,24,0,2,0,0,0,0.1,1.50,4.24
2017,PIT,15,13,0,0,62.0,81,61,53,13,44,56,2,7,0,1,0,-1.9,2.02,7.69
2018,PIT,13,0,0,0,25.2,23,15,15,2,13,35,1,1,0,0,0,-0.1,1.40,5.26
