SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2015,BOS,17,0,0,0,13.0,13,12,6,3,7,13,0,1,0,4,0,-0.5,1.54,4.15
2016,BOS,14,0,0,0,13.0,16,9,9,4,8,15,0,0,0,0,0,-0.2,1.85,6.23
2017,BOS,2,0,0,0,4.2,3,2,2,2,1,4,0,0,0,0,0,0.0,0.86,3.86
2017,LAA,10,0,0,0,8.1,3,3,2,0,4,10,0,0,0,0,0,0.2,0.84,2.16
2017,Total,12,0,0,0,13.0,6,5,4,2,5,14,0,0,0,0,0,0.2,0.85,2.77
2018,LAA,25,0,0,0,28.0,28,12,11,1,11,38,1,2,0,3,0,0.2,1.39,3.54
