YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2016,OAK,72,269,36,82,20,0,13,37,12,60,0,0,.305,.337,.524,.861,2.2
2017,OAK,149,576,66,156,29,0,25,78,23,142,0,1,.271,.302,.451,.753,1.0
2018,SEA,32,122,21,30,6,0,8,20,6,29,0,0,.246,.281,.492,.773,0.3
