SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2010,LAD,25,0,0,0,27.0,12,2,2,0,15,41,1,0,4,4,0,1.4,1.00,0.67
2011,LAD,51,0,0,0,53.2,30,17,17,3,26,96,2,1,5,9,1,0.7,1.04,2.85
2012,LAD,65,0,0,0,65.0,33,18,17,6,22,99,5,3,25,8,7,1.9,0.85,2.35
2013,LAD,75,0,0,0,76.2,48,16,16,6,18,111,4,3,28,16,4,2.6,0.86,1.88
2014,LAD,68,0,0,0,65.1,55,20,20,5,19,101,2,3,44,0,5,1.2,1.13,2.76
2015,LAD,54,0,0,0,52.1,33,14,14,6,8,80,2,1,36,1,2,1.4,0.78,2.41
2016,LAD,71,0,0,0,68.2,35,14,14,4,11,104,3,2,47,0,6,2.5,0.67,1.83
2017,LAD,65,0,0,0,68.1,44,11,10,5,7,109,5,0,41,1,1,2.9,0.75,1.32
2018,LAD,21,0,0,0,21.2,18,9,7,3,6,23,0,1,10,0,2,0.1,1.11,2.91
