YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2016,OAK,33,92,8,26,6,1,1,14,8,24,0,0,.283,.337,.402,.739,0.5
2017,OAK,76,219,21,52,12,0,3,22,31,63,0,0,.237,.329,.333,.662,-0.0
2018,OAK,14,41,3,8,4,0,0,3,2,10,0,0,.195,.227,.293,.520,-0.3
