YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2016,COL,97,372,67,101,21,4,27,72,35,130,8,5,.272,.341,.567,.908,3.1
2017,COL,145,503,68,120,32,3,24,82,49,191,7,2,.239,.308,.457,.765,2.6
2018,COL,50,183,24,44,9,3,10,35,21,61,8,0,.240,.325,.486,.811,1.0
