SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2013,SD,10,7,0,0,36.1,39,26,26,9,21,46,1,3,0,0,0,-0.7,1.65,6.44
2018,KC,13,0,0,0,22.0,19,10,10,5,13,24,0,0,0,1,0,0.2,1.45,4.09
