YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2011,SD,49,128,9,18,8,1,1,9,21,46,2,1,.141,.281,.242,.523,-0.4
2012,CHC,87,337,44,96,15,0,15,48,27,62,3,2,.285,.342,.463,.805,2.2
2013,CHC,160,606,71,141,40,2,23,80,76,127,6,5,.233,.323,.419,.742,2.6
2014,CHC,140,524,89,150,28,1,32,78,73,116,5,4,.286,.386,.527,.913,5.1
2015,CHC,160,586,94,163,38,3,31,101,78,105,17,6,.278,.387,.512,.899,6.3
2016,CHC,155,583,94,170,43,4,32,109,74,108,3,5,.292,.385,.544,.929,5.7
2017,CHC,157,572,99,156,32,3,32,109,91,90,10,4,.273,.392,.507,.899,4.4
2018,CHC,37,150,21,31,5,0,6,30,13,23,1,1,.207,.301,.360,.661,0.0
