SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2016,TEX,12,0,0,0,15.0,11,4,3,0,13,15,0,0,0,0,0,0.4,1.60,1.80
2017,TEX,47,0,0,0,45.2,23,21,20,4,40,60,2,3,2,10,1,0.7,1.38,3.94
2018,TEX,16,0,0,0,15.0,7,10,4,0,10,19,1,1,0,4,2,-0.1,1.13,2.40
