SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,KC,2,2,0,0,7.1,8,4,4,1,4,4,0,1,0,0,0,0.1,1.64,4.91
2013,TB,7,4,0,0,29.2,28,13,13,3,8,22,0,1,1,0,0,0.3,1.21,3.94
2014,TB,31,31,0,0,168.0,156,79,77,20,59,174,11,13,0,0,0,1.2,1.28,4.13
2015,TB,28,28,0,0,169.1,149,65,63,18,46,150,9,9,0,0,0,3.5,1.15,3.35
2016,TB,33,33,0,0,187.2,170,80,77,29,54,166,10,6,0,0,0,3.0,1.19,3.69
2017,TB,28,28,0,0,143.1,117,80,66,30,61,127,10,8,0,0,0,-0.1,1.24,4.14
2018,MIN,10,10,0,0,54.0,45,21,19,10,23,55,3,2,0,0,0,1.2,1.26,3.17
