SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2015,TOR,13,0,0,0,12.1,15,7,6,2,6,12,0,2,4,1,2,-0.1,1.70,4.38
2015,COL,5,0,0,0,5.1,6,6,6,2,4,6,0,1,0,0,0,-0.2,1.88,10.13
2015,Total,18,0,0,0,17.2,21,13,12,4,10,18,0,3,4,1,2,-0.3,1.75,6.11
2016,COL,19,0,0,0,14.2,18,10,10,3,5,12,0,0,0,7,1,-0.1,1.57,6.14
2017,BAL,39,1,0,0,66.1,53,29,26,8,28,38,3,3,0,1,0,0.9,1.22,3.53
2018,BAL,18,0,0,0,28.2,24,11,10,2,13,20,1,1,0,0,1,0.6,1.29,3.14
