YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2013,TB,5,7,1,3,0,0,0,1,0,0,0,0,.429,.375,.429,.804,0.1
2015,TB,82,203,24,45,7,4,9,37,13,69,3,1,.222,.274,.429,.703,-0.1
2016,TB,64,198,25,49,12,5,5,16,14,67,2,1,.247,.300,.434,.734,1.3
2017,BAL,50,216,36,66,13,2,10,26,12,57,1,1,.306,.348,.523,.871,2.0
2017,TB,87,317,31,82,5,3,12,36,24,110,5,4,.259,.314,.407,.721,1.3
2017,Total,137,533,67,148,18,5,22,62,36,167,6,5,.278,.328,.454,.782,3.3
2018,BAL,23,84,8,15,4,0,1,4,8,28,1,0,.179,.247,.262,.509,-0.5
