YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2012,ARI,31,81,8,20,4,1,2,8,9,11,1,2,.247,.315,.395,.710,-0.1
2013,ARI,137,443,64,119,28,5,8,38,33,82,12,3,.269,.322,.409,.731,3.5
2014,ARI,75,265,41,80,19,6,7,24,19,46,14,3,.302,.353,.498,.851,3.9
2015,ARI,157,609,111,192,39,6,20,76,53,89,39,7,.315,.367,.498,.865,7.4
2016,ARI,12,41,9,10,0,0,2,4,5,8,4,0,.244,.326,.390,.716,0.5
2017,ARI,112,425,73,113,33,6,14,49,35,71,20,6,.266,.330,.471,.801,2.9
2018,ARI,40,150,23,44,10,3,11,33,12,38,9,2,.293,.349,.620,.969,2.1
