SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2016,LAD,32,32,0,0,175.2,150,72,68,20,50,179,16,11,0,0,0,2.4,1.14,3.48
2017,LAD,29,25,0,0,134.1,121,68,63,22,34,140,13,6,1,0,0,0.4,1.15,4.22
2018,LAD,10,9,0,0,50.2,46,22,19,4,17,66,4,3,0,0,0,0.5,1.24,3.38
