SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,BAL,32,32,0,0,192.2,186,97,86,29,57,154,12,11,0,0,0,2.5,1.26,4.02
2013,BAL,23,23,0,0,137.0,142,62,62,17,39,104,7,7,0,0,0,1.8,1.32,4.07
2014,BAL,31,31,0,0,185.2,193,77,73,23,35,136,16,6,0,0,0,1.8,1.23,3.54
2015,BAL,31,31,0,0,191.1,192,78,71,28,41,153,11,8,0,0,0,3.8,1.22,3.34
2016,MIA,22,22,0,0,123.1,134,69,68,22,24,100,5,5,0,0,0,-0.1,1.28,4.96
2017,MIA,9,5,0,0,33.0,25,14,14,3,9,25,2,1,0,0,0,0.5,1.03,3.82
2018,MIA,5,5,0,0,22.0,24,16,16,6,12,14,1,2,0,0,0,-0.4,1.64,6.55
