YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2013,CHW,21,69,7,18,4,0,2,7,1,22,2,2,.261,.268,.406,.674,0.6
2014,CHW,64,231,30,54,10,2,6,28,21,70,3,0,.234,.300,.372,.672,0.5
2015,OAK,155,556,65,143,23,7,15,45,42,132,11,5,.257,.310,.405,.715,2.7
2016,OAK,159,568,72,135,27,2,27,75,51,139,10,2,.238,.300,.435,.735,3.0
2017,OAK,85,342,53,85,19,1,10,40,38,85,12,1,.249,.325,.398,.723,1.1
2018,OAK,50,216,35,59,11,0,5,24,16,52,4,2,.273,.318,.394,.712,1.3
