SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2009,WAS,19,19,1,0,105.2,112,67,60,14,24,48,4,7,0,0,0,0.0,1.29,5.11
2010,WSH,35,19,0,0,128.0,151,78,73,13,41,85,4,4,0,1,0,-0.5,1.50,5.13
2011,WSH,7,0,0,0,10.1,3,1,1,0,4,12,1,1,0,1,0,0.5,0.68,0.87
2012,WSH,59,0,0,0,88.1,70,27,23,7,36,87,6,1,1,10,1,1.9,1.20,2.34
2013,WSH,55,0,0,0,81.2,78,30,25,4,27,79,7,6,0,7,1,1.0,1.29,2.76
2014,WSH,49,0,0,0,72.2,78,34,31,5,14,56,4,5,0,7,0,0.1,1.27,3.84
2015,WSH,5,0,0,0,4.0,2,0,0,0,3,3,0,0,0,2,0,0.3,1.25,0.00
2017,SD,60,0,0,0,80.1,68,29,28,12,28,74,2,3,0,11,2,1.4,1.20,3.14
2018,SD,22,0,0,0,24.1,19,5,5,1,5,25,1,0,0,10,1,0.8,0.99,1.85
