SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2016,PIT,8,7,0,0,33.1,45,26,18,5,17,29,0,3,0,0,0,-0.5,1.86,4.86
2017,PIT,11,4,0,0,34.2,41,21,18,3,14,23,1,0,1,0,0,0.0,1.59,4.67
2018,PIT,12,5,0,0,38.2,31,19,18,3,20,33,4,1,0,0,0,0.3,1.32,4.19
