YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2012,LAA,21,23,2,4,1,0,0,1,2,6,1,0,.174,.240,.217,.457,-0.2
2013,LAA,58,195,29,55,7,2,8,32,21,41,2,2,.282,.347,.462,.809,0.6
2014,LAA,127,493,90,134,31,3,17,58,38,104,5,3,.272,.325,.450,.775,4.1
2015,LAA,159,630,78,161,23,2,26,83,45,164,4,1,.256,.308,.422,.730,3.0
2016,LAA,157,594,91,161,35,5,18,75,67,118,2,3,.271,.348,.438,.786,3.4
2017,LAA,155,569,77,139,23,2,19,71,71,134,5,1,.244,.333,.392,.725,2.1
2018,LAA,43,153,12,23,1,1,1,11,7,41,3,1,.150,.186,.190,.376,-1.1
