SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2014,TOR,5,1,0,0,6.2,5,4,4,1,5,4,0,0,0,1,0,-0.0,1.50,5.40
2015,DET,8,8,0,0,36.2,30,20,15,6,7,27,2,1,0,0,0,0.1,1.01,3.68
2015,TOR,5,5,0,0,23.1,23,11,10,3,12,18,1,1,0,0,0,0.2,1.50,3.86
2015,Total,13,13,0,0,60.0,53,31,25,9,19,45,3,2,0,0,0,0.3,1.20,3.75
2016,DET,14,13,0,0,69.1,75,30,26,10,22,71,4,2,0,0,0,1.5,1.40,3.38
2017,DET,22,18,0,0,101.2,120,64,60,12,44,86,5,8,0,0,0,0.6,1.61,5.31
2018,DET,5,2,0,0,15.1,16,10,10,3,9,18,0,2,0,0,0,-0.1,1.63,5.87
