YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2014,MIA,11,29,4,7,1,1,0,9,1,8,0,0,.241,.267,.345,.612,0.1
2015,MIA,126,441,49,114,21,7,10,47,19,70,8,4,.259,.290,.406,.696,2.2
2016,MIA,137,509,60,154,31,0,11,48,28,100,12,4,.303,.343,.428,.771,2.6
2017,MIA,141,532,68,148,31,5,17,65,36,106,8,2,.278,.332,.451,.783,3.6
2018,MIA,30,117,18,37,6,1,6,16,9,21,1,1,.316,.375,.538,.913,1.7
