SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2015,ARI,5,0,0,0,9.0,17,13,5,2,5,5,0,0,0,0,0,-0.5,2.44,5.00
2016,PIT,36,0,0,0,52.0,41,22,21,4,13,46,2,2,1,3,1,0.7,1.04,3.63
2017,PIT,32,0,0,0,32.0,31,8,7,3,14,27,4,0,0,4,1,0.9,1.41,1.97
