YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2012,WSH,12,30,2,8,2,0,0,2,4,11,0,0,.267,.389,.333,.722,0.3
2013,WSH,2,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.0
2014,WSH,20,64,7,10,1,0,1,3,6,20,0,0,.156,.229,.219,.448,-0.0
2015,BOS,41,114,8,21,2,0,0,3,7,28,0,1,.184,.238,.202,.440,-0.3
2016,BOS,78,252,36,78,17,2,7,35,23,66,0,0,.310,.369,.476,.845,2.7
2017,BOS,85,271,32,61,14,0,7,39,25,74,0,0,.225,.290,.354,.644,0.6
2018,BOS,20,60,8,14,1,0,1,5,4,15,1,0,.233,.292,.300,.592,0.2
