SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2014,NYY,8,0,0,0,10.0,11,6,6,2,7,10,0,2,0,0,0,-0.1,1.80,5.40
2015,NYY,3,0,0,0,3.0,6,5,5,0,4,2,0,0,0,0,0,-0.2,3.33,15.00
2015,SEA,5,0,0,0,4.2,9,9,6,0,6,3,1,0,0,0,0,-0.4,3.21,11.57
2015,Total,8,0,0,0,7.2,15,14,11,0,10,5,1,0,0,0,0,-0.6,3.26,12.91
2016,ATL,33,0,0,0,32.2,26,16,13,2,18,33,2,2,0,3,0,0.2,1.35,3.58
2017,ATL,68,0,0,0,62.0,45,26,22,9,29,56,2,3,0,27,5,1.0,1.19,3.19
2018,ATL,7,0,0,0,6.1,9,12,12,0,8,7,0,2,0,0,0,-0.9,2.68,17.05
