YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2015,CHW,68,236,33,53,6,4,4,20,12,51,8,2,.225,.267,.335,.602,1.3
2016,CHW,93,298,33,84,14,0,8,38,13,62,11,5,.282,.315,.409,.724,1.8
2017,CHW,79,253,23,45,9,2,0,10,23,67,5,4,.178,.254,.229,.483,-0.9
2018,CHW,6,8,2,2,1,0,0,0,0,3,0,0,.250,.250,.375,.625,0.1
2018,MIL,11,25,5,10,1,0,3,6,1,5,0,0,.400,.423,.800,1.223,0.7
2018,Total,17,33,7,12,2,0,3,6,1,8,0,0,.364,.382,.697,1.079,0.8
