SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,WSH,3,2,0,0,12.0,7,1,1,0,6,4,2,0,0,0,1,0.7,1.08,0.75
2013,HOU,18,14,0,0,83.1,78,51,48,15,37,77,5,6,0,2,0,0.0,1.38,5.18
2014,HOU,28,24,0,0,131.2,136,80,69,20,70,119,4,9,0,1,0,-0.4,1.56,4.72
2015,HOU,1,1,0,0,5.0,5,3,3,0,2,3,0,1,0,0,0,-0.0,1.40,5.40
2016,HOU,10,5,0,0,31.2,21,15,13,6,14,28,0,1,0,0,0,0.2,1.11,3.69
2017,HOU,34,21,0,0,132.0,100,46,44,10,57,161,13,2,0,0,0,3.0,1.19,3.00
2018,HOU,18,0,0,0,19.2,13,4,4,3,4,26,1,1,1,3,2,0.6,0.86,1.83
