YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2011,TB,15,41,7,8,1,0,2,3,1,9,0,0,.195,.214,.366,.580,0.0
2012,TB,3,7,2,1,0,0,1,1,0,1,0,0,.143,.143,.571,.714,0.1
2014,TB,97,259,37,69,15,1,3,26,16,52,6,1,.266,.334,.367,.701,1.7
2015,TB,128,332,51,88,21,2,8,28,25,61,10,4,.265,.359,.413,.772,1.9
2016,CLE,38,81,12,27,5,0,2,14,7,13,1,1,.333,.438,.469,.907,1.1
2016,TB,63,212,27,51,12,1,7,18,12,42,2,1,.241,.347,.406,.753,0.6
2016,Total,101,293,39,78,17,1,9,32,19,55,3,2,.266,.372,.423,.795,1.7
2017,CLE,70,165,23,39,7,1,2,20,15,43,2,0,.236,.326,.327,.653,-0.3
2018,CLE,33,80,6,12,5,0,3,10,8,22,0,0,.150,.244,.325,.569,-0.7
