YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2015,CLE,81,267,25,60,8,1,6,21,18,58,0,1,.225,.279,.330,.609,-0.1
2017,CLE,67,156,14,35,7,0,1,15,8,22,0,0,.224,.262,.288,.550,-0.6
2018,TOR,9,21,1,4,1,0,1,3,0,4,0,0,.190,.227,.381,.608,-0.2
