SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,HOU,16,16,1,0,85.1,93,56,50,14,39,38,3,8,0,0,0,-0.1,1.55,5.27
2013,HOU,31,22,0,0,153.2,184,96,88,20,52,123,6,10,0,2,0,-0.1,1.54,5.15
2014,HOU,29,29,5,1,200.0,187,71,65,11,48,146,12,9,0,0,0,5.1,1.18,2.93
2015,HOU,33,33,3,2,232.0,185,68,64,17,51,216,20,8,0,0,0,7.2,1.02,2.48
2016,HOU,26,26,1,1,168.0,168,88,85,20,48,144,9,12,0,0,0,0.5,1.29,4.55
2017,HOU,23,23,1,0,145.2,116,50,47,15,47,125,14,5,0,0,0,3.9,1.12,2.90
2018,HOU,10,10,1,0,63.0,55,25,24,9,17,48,3,6,0,0,0,0.8,1.14,3.43
