SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2012,NYM,10,10,0,0,59.1,42,19,18,5,26,70,3,5,0,0,0,1.5,1.15,2.73
2013,NYM,26,26,1,1,178.1,135,46,45,7,31,191,9,5,0,0,0,5.2,0.93,2.27
2015,NYM,29,29,0,0,189.1,156,62,57,18,37,188,13,8,0,0,0,4.3,1.02,2.71
2016,NYM,17,17,0,0,92.2,111,55,50,8,25,76,4,10,0,0,0,0.0,1.47,4.86
2017,NYM,19,18,0,0,92.2,110,70,69,21,47,67,5,7,0,0,0,-0.9,1.69,6.70
2018,CIN,3,3,0,0,14.0,11,4,4,2,2,12,1,0,0,0,0,0.4,0.93,2.57
2018,NYM,8,4,0,0,27.0,33,21,21,6,9,20,0,2,0,0,0,-0.5,1.56,7.00
2018,Total,11,7,0,0,41.0,44,25,25,8,11,32,1,2,0,0,0,-0.1,1.34,5.49
