SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2017,CIN,26,0,0,0,30.2,30,16,16,6,13,38,0,0,0,3,1,0.1,1.40,4.70
2018,CIN,5,0,0,0,8.0,13,8,7,0,4,7,0,1,0,0,1,-0.3,2.13,7.88
