SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2017,SEA,34,0,0,0,50.1,39,20,18,7,8,56,2,3,0,8,1,0.7,0.93,3.22
2018,OAK,13,0,0,0,15.2,21,9,9,4,5,8,1,0,0,2,0,-0.1,1.66,5.17
