SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2011,ARI,33,0,0,0,28.1,30,9,8,2,8,24,1,0,0,9,0,0.4,1.34,2.54
2012,ARI,64,0,0,0,59.1,60,29,23,4,24,41,1,6,2,10,2,0.3,1.42,3.49
2013,CLE,70,0,0,0,75.0,60,31,27,4,28,73,7,3,1,12,4,0.7,1.17,3.24
2014,CLE,80,0,0,0,76.1,61,26,22,6,22,64,5,5,2,24,7,1.7,1.09,2.59
2015,CLE,74,0,0,0,64.0,59,24,21,8,19,54,3,3,2,23,4,1.2,1.22,2.95
2016,CLE,75,0,0,0,66.2,56,26,24,8,28,69,2,5,1,25,3,1.4,1.26,3.24
2017,CLE,79,0,0,0,76.2,71,36,30,5,22,73,4,6,3,26,3,0.6,1.21,3.52
2018,COL,27,0,0,0,24.1,26,16,16,5,12,26,1,3,0,10,3,-0.4,1.56,5.92
