YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
2014,TEX,28,105,11,31,7,0,2,14,2,18,1,0,.295,.321,.419,.740,0.3
2015,TEX,28,83,10,16,5,0,4,7,3,32,0,0,.193,.221,.398,.619,-0.2
2016,TEX,99,240,40,62,8,1,8,22,21,76,9,0,.258,.331,.400,.731,0.7
2017,TEX,63,129,17,28,6,0,3,12,14,52,2,2,.217,.294,.333,.627,-0.2
2018,TEX,33,84,9,13,1,1,2,5,4,31,3,1,.155,.191,.262,.453,-0.9
