SEASON,TEAM,GP,GS,CG,SHO,IP,H,R,ER,HR,BB,SO,W,L,SV,HLD,BLSV,WAR,WHIP,ERA
2015,WSH,16,13,0,0,76.2,64,33,31,7,21,69,5,5,0,0,0,1.3,1.11,3.64
2016,WSH,19,19,0,0,105.0,108,43,40,9,29,93,7,5,0,0,0,2.1,1.30,3.43
2017,WSH,13,13,0,0,73.2,88,44,41,16,20,68,5,3,0,0,0,0.5,1.47,5.01
